,country,average annual working hours per worker,happiness rank,happiness score,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
0,argentina,1691.5363,30,6.574,193,25,221,8.3
1,australia,1747.009,10,7.284,261,72,212,10.4
2,austria,1598.8944,13,7.2,279,75,191,9.7
3,bangladesh,2232.3542,109,4.694,0,0,0,0.0
4,belgium,1544.61,19,6.937,295,84,212,10.5
5,brazil,1709.4856,16,6.983,245,145,16,7.2
6,bulgaria,1644.3853,134,4.218,231,252,94,10.3
7,cambodia,2455.5508,145,3.819,57,65,1,2.2
8,canada,1707.0729999999999,5,7.4270000000000005,240,122,100,8.2
9,chile,1988.0,27,6.67,130,124,172,7.6
10,china,2174.3501,84,5.14,79,192,8,5.0
11,colombia,1997.7479999999998,33,6.477,159,76,3,4.2
12,costa rica,2156.9102,12,7.226,149,87,11,4.4
13,croatia,1827.651,62,5.7589999999999995,230,87,254,10.2
14,cyprus,1789.7061,67,5.689,192,154,113,8.2
15,denmark,1412.2715,3,7.527,224,81,278,10.4
16,ecuador,1701.3558,48,5.975,162,74,3,4.2
17,estonia,1851.6166,73,5.428999999999999,224,194,59,9.5
18,finland,1637.1949,6,7.406000000000001,263,133,97,10.0
19,france,1509.4127,29,6.575,127,151,370,11.8
20,germany,1368.1069,26,6.75,346,117,175,11.3
21,greece,2031.1405,102,4.857,133,112,218,8.3
22,hungary,1923.7209,104,4.8,234,215,185,11.3
23,iceland,1509.1685,2,7.561,233,61,78,6.6
24,india,2117.0117,117,4.565,9,114,0,2.2
25,indonesia,2024.287,74,5.399,5,1,0,0.1
26,ireland,1740.5286,18,6.94,313,118,165,11.4
27,israel,1895.4574,11,7.278,63,69,9,2.5
28,italy,1717.9958,50,5.9479999999999995,85,42,237,6.5
29,japan,1750.9,46,5.987,77,202,16,7.0
30,latvia,1901.7413,89,5.098,281,216,62,10.5
31,lithuania,1859.4974,56,5.832999999999999,343,244,56,12.9
32,luxembourg,1521.0288,17,6.946000000000001,236,133,271,11.4
33,malaysia,2238.2729,61,5.77,13,4,0,0.3
34,malta,1964.5587,37,6.3020000000000005,149,100,120,6.6
35,mexico,2248.0,14,7.187,238,68,5,5.5
36,myanmar,2437.8633,129,4.3069999999999995,5,1,0,0.1
37,netherlands,1423.9202,7,7.377999999999999,251,88,190,9.4
38,new zealand,1757.0,9,7.2860000000000005,203,79,175,9.3
39,nigeria,1703.4781,78,5.268,42,5,2,9.1
40,norway,1422.5608,4,7.522,169,71,129,6.7
41,pakistan,2096.1443,81,5.194,0,0,0,0.0
42,peru,1932.4581,58,5.824,163,160,21,6.1
43,philippines,2148.5645,90,5.073,71,186,1,4.6
44,poland,2049.009,60,5.791,343,215,56,10.9
45,portugal,1874.9194,88,5.102,194,67,339,11.0
46,romania,1785.6711,86,5.124,297,122,167,10.4
47,singapore,2263.1465,24,6.797999999999999,60,12,11,1.5
48,slovakia,1754.0863,45,5.995,196,293,116,11.4
49,slovenia,1687.8574,55,5.848,270,51,276,10.6
50,south africa,2209.0916,113,4.6419999999999995,225,76,81,8.2
51,south korea,2076.2959,47,5.984,140,16,9,9.8
52,spain,1699.4991,36,6.329,284,157,112,10.0
53,sri lanka,1923.9354,132,4.271,16,104,0,2.2
54,sweden,1610.0720000000001,8,7.364,152,60,186,7.2
55,switzerland,1589.4751,1,7.587000000000001,185,100,280,10.2
56,thailand,2185.4456,34,6.455,99,258,1,6.4
57,turkey,1832.0,76,5.332000000000001,51,22,7,1.4
58,united kingdom,1669.0747,21,6.867000000000001,219,126,195,10.4
59,uruguay,1552.3470000000002,32,6.485,115,35,220,6.6
60,vietnam,2169.5916,75,5.36,111,2,1,2.0
